Group	Measurement	Parameter	Unit	Value
V_200mN_NEW	4	Y	mm	37.178
V_200mN_NEW	4	F/S©÷(O&P)	nm©÷/mN	604.153
V_200mN_NEW	5	HIT (O&P)	MPa	3279.235
V_200mN_NEW	5	HVIT (O&P)	Vickers	334.275
V_200mN_NEW	5	EIT (O&P)	GPa	60.646
V_200mN_NEW	5	E* (O&P)	GPa	68.573
V_200mN_NEW	5	Er (O&P)	GPa	64.703
V_200mN_NEW	5	hm (O&P)	nm	1311.931
V_200mN_NEW	5	Fm (O&P)	mN	200.019
V_200mN_NEW	5	S (O&P)	mN/nm	0.570
V_200mN_NEW	5	Poisson's ratio		0.340
V_200mN_NEW	5	hc (O&P)	nm	1023.112
V_200mN_NEW	5	hr (O&P)	nm	961.148
V_200mN_NEW	5	hp (O&P)	nm	920.568
V_200mN_NEW	5	Epsilon (O&P)		0.823
V_200mN_NEW	5	Ap (O&P)	nm©÷	60995544.000
V_200mN_NEW	5	m (O&P)		1.116
V_200mN_NEW	5	CIT	%	14.989
V_200mN_NEW	5	RIT	%	-0.169
V_200mN_NEW	5	Welast	pJ	37590.598
V_200mN_NEW	5	Wplast	pJ	107351.273
V_200mN_NEW	5	Wtotal	pJ	144941.875
V_200mN_NEW	5	nit	%	25.935
V_200mN_NEW	5	X	mm	9.179
V_200mN_NEW	5	Y	mm	38.950
V_200mN_NEW	5	F/S©÷(O&P)	nm©÷/mN	615.189
V_200mN_NEW	6	HIT (O&P)	MPa	3471.594
V_200mN_NEW	6	HVIT (O&P)	Vickers	353.883
V_200mN_NEW	6	EIT (O&P)	GPa	62.386
V_200mN_NEW	6	E* (O&P)	GPa	70.541
V_200mN_NEW	6	Er (O&P)	GPa	66.453
V_200mN_NEW	6	hm (O&P)	nm	1227.408
V_200mN_NEW	6	Fm (O&P)	mN	199.737
V_200mN_NEW	6	S (O&P)	mN/nm	0.569
V_200mN_NEW	6	Poisson's ratio		0.340
V_200mN_NEW	6	hc (O&P)	nm	961.960
V_200mN_NEW	6	hr (O&P)	nm	876.231
V_200mN_NEW	6	hp (O&P)	nm	723.591
