Group	Measurement	Parameter	Unit	Value
Y_HT_200mN	1	Welast	pJ	28957.350
Y_HT_200mN	1	Wplast	pJ	92539.141
Y_HT_200mN	1	Wtotal	pJ	121496.484
Y_HT_200mN	1	nit	%	23.834
Y_HT_200mN	1	X	µm	12401.433
Y_HT_200mN	1	Y	µm	37100.934
Y_HT_200mN	1	G (Creep)	GPa	13.832
Y_HT_200mN	1	E (Creep)	GPa	35.964
Y_HT_200mN	1	K (Creep)	GPa	29.970
Y_HT_200mN	1	F/S²(O&P)	nm²/mN	352.788
Y_HT_200mN	2	HIT (O&P)	GPa	3.785
Y_HT_200mN	2	HVIT (O&P)	Vickers	385.831
Y_HT_200mN	2	EIT (O&P)	GPa	89.714
Y_HT_200mN	2	E* (O&P)	GPa	98.586
Y_HT_200mN	2	Er (O&P)	GPa	90.781
Y_HT_200mN	2	hm (O&P)	nm	1099.315
Y_HT_200mN	2	Fm (O&P)	mN	199.952
Y_HT_200mN	2	S (O&P)	mN/nm	0.745
Y_HT_200mN	2	Poisson's ratio		0.300
Y_HT_200mN	2	hc (O&P)	nm	879.448
Y_HT_200mN	2	hr (O&P)	nm	830.752
Y_HT_200mN	2	hp (O&P)	nm	796.198
Y_HT_200mN	2	Epsilon (O&P)		0.819
Y_HT_200mN	2	Ap (O&P)	nm²	52827544.000
Y_HT_200mN	2	m (O&P)		1.129
Y_HT_200mN	2	CIT	%	9.518
Y_HT_200mN	2	RIT	%	-0.188
Y_HT_200mN	2	Welast	pJ	29861.982
Y_HT_200mN	2	Wplast	pJ	88597.414
Y_HT_200mN	2	Wtotal	pJ	118459.398
Y_HT_200mN	2	nit	%	25.209
Y_HT_200mN	2	X	µm	12601.433
Y_HT_200mN	2	Y	µm	37100.934
Y_HT_200mN	2	G (Creep)	GPa	14.109
Y_HT_200mN	2	E (Creep)	GPa	36.684
Y_HT_200mN	2	K (Creep)	GPa	30.570
Y_HT_200mN	2	F/S²(O&P)	nm²/mN	360.716
Y_HT_200mN	3	HIT (O&P)	GPa	3.923
Y_HT_200mN	3	HVIT (O&P)	Vickers	399.868
Y_HT_200mN	3	EIT (O&P)	GPa	93.834
Y_HT_200mN	3	E* (O&P)	GPa	103.114
Y_HT_200mN	3	Er (O&P)	GPa	94.606
